"Cont", "Майонез "Седьмой Континент" провансаль 67% 500г дойпак", 4390

"Utkonos", "Смесь Семушка ореховая с пеканом и макадамией, 150г", 24300
"Cont", "Кешью "Седьмой Континент" сушеный 150г пакет Россия", 25000

"Utkonos", "Фисташки Extra крупные жареные, 150г", 28800
"Cont", "Фисташки "Седьмой Континент" обжаренные соленые 150г", 30000

"Utkonos", "Говядина Любимый дом тушеная ГОСТ высший сорт 338г", 11200
"Cont", "Говядина тушеная "Седьмой Континент" ГОСТ высший сорт 338г ж/б (тушенка)", 11000

"Utkonos", "Горбуша Олива Факел ломтики слабосоленая в/у 150г", 13600
"Cont", "Колбаса "Спасибо за покупку" Мадейра сырокопченая 150г нарезка Брянский МК", 14000

"Utkonos", "Батончики без сахара на фруктозе 300г", 10300
"Cont", "Печень по-строгановски с картофельным пюре "Седьмой Континент" 300г замороженное блюдо", 11000

"Utkonos", "Биойогурт Останкинское Натуральный 3%, 500г", 5380
"Cont", "Тесто "Седьмой континент" слоеное бездрожжевое 500г", 5290

"Utkonos", "Ряженка Тевье молочник Luxury термостатная 3,4-4,0% 500г", 11600
